Category,Ticker,Return_1yr (%),Volatility,Open Price,Close Price,Volume,Market Cap
Indian Stocks,INFY.NS,-0.69,0.2399,1465.51,1451.65,7025661.23,6014.3
Indian Stocks,TCS.NS,-15.26,0.2139,3866.84,3299.4,2411635.71,11937.53
Indian Stocks,HDFCBANK.NS,20.59,0.2044,1483.74,1817.3,17381235.72,13905.8
Indian Stocks,ICICIBANK.NS,24.84,0.2041,1075.49,1335.3,13617741.3,9509.91
Indian Stocks,HINDUNILVR.NS,0.82,0.2053,2231.16,2244.55,1919295.22,5275.3
Indian Stocks,BHARTIARTL.NS,45.27,0.2339,1225.12,1743.45,6533970.68,10447.1
Indian Stocks,SBIN.NS,2.77,0.2831,762.22,767.45,14953580.9,6849.2
Indian Stocks,BAJFINANCE.NS,20.31,0.2677,7308.31,8718.85,1188767.74,5418.46
Indian Stocks,KOTAKBANK.NS,22.02,0.2559,1745.09,2131.95,5486991.29,4238.68
International Stocks,AAPL,11.61,0.2736,168.79,188.38,55364872.51,2829.86
International Stocks,MSFT,-14.79,0.2196,416.83,359.84,20800889.24,2675.04
International Stocks,GOOGL,-4.07,0.2962,149.32,145.6,27602618.33,1785.01
International Stocks,AMZN,-7.6,0.3019,182.38,171.0,40674818.73,1812.21
International Stocks,META,-3.94,0.3319,514.98,504.73,14453239.84,1278.81
International Stocks,TSLA,45.2,0.7,169.08,239.43,94496687.25,770.13
International Stocks,NVDA,7.2,0.5728,86.84,94.31,313404401.59,2301.16
International Stocks,JPM,,0.2772,,210.28,9441323.41,587.97
International Stocks,V,13.83,0.1964,274.06,313.13,7212202.39,604.03
International Stocks,WMT,40.57,0.2237,58.88,83.19,17160668.53,666.92
Indices,^NSEI,1.73,0.1425,22592.1,22904.45,305447.58,0.0
Indices,^BSESN,1.53,0.1421,74413.82,75364.69,10491.53,0.0
Indices,^GSPC,-2.5,0.159,5158.95,5074.08,4143899760.96,0.0
Indices,^DJI,-1.51,0.1421,38664.98,38314.86,449079840.64,0.0
Indices,^IXIC,-4.07,0.2165,16095.4,15587.79,6501253227.09,0.0
Mutual Funds,SPY,-1.3,0.1582,507.99,505.28,53564274.1,463.74
Mutual Funds,QQQ,-3.45,0.2123,434.13,422.67,35658065.74,166.15
Mutual Funds,VTI,-2.09,0.1611,251.73,248.47,3138534.26,515.26
Mutual Funds,VOO,-0.99,0.1573,466.6,465.52,5842133.47,0.0
Mutual Funds,NIFTYBEES.NS,3.18,0.1185,249.59,257.16,4997547.65,0.0
